層級,激活函數類型,參數,調整前,調整後,變化量,變化百分比
Layer 1,ParametricTanh,α (Scale),1.2,1.5,+0.3,+25.0%
Layer 1,ParametricTanh,β (Steepness),0.8,1.2,+0.4,+50.0%
Layer 1,ParametricTanh,γ (Shift),0.0,0.1,+0.1,N/A
Layer 2,ParametricSigmoid,α (Scale),1.5,1.8,+0.3,+20.0%
Layer 2,ParametricSigmoid,β (Steepness),1.2,1.5,+0.3,+25.0%
Layer 2,ParametricSigmoid,γ (Shift),-0.5,-0.3,+0.2,+40.0%
Layer 3,ParametricTanh,α (Scale),1.1,1.3,+0.2,+18.2%
Layer 3,ParametricTanh,β (Steepness),0.9,1.1,+0.2,+22.2%
Layer 3,ParametricTanh,γ (Shift),0.0,0.05,+0.05,N/A
Layer 4,ParametricSigmoid,α (Scale),1.3,1.6,+0.3,+23.1%
Layer 4,ParametricSigmoid,β (Steepness),1.0,1.3,+0.3,+30.0%
Layer 4,ParametricSigmoid,γ (Shift),-0.3,-0.25,+0.05,+16.7%
Layer 5,ParametricTanh,α (Scale),1.0,1.2,+0.2,+20.0%
Layer 5,ParametricTanh,β (Steepness),1.0,1.0,0.0,0.0%
Layer 5,ParametricTanh,γ (Shift),0.0,0.08,+0.08,N/A
Layer 6,ParametricSigmoid,α (Scale),1.4,1.7,+0.3,+21.4%
Layer 6,ParametricSigmoid,β (Steepness),1.1,1.4,+0.3,+27.3%
Layer 6,ParametricSigmoid,γ (Shift),-0.4,-0.35,+0.05,+12.5%
Layer 7,ParametricTanh,α (Scale),1.15,1.4,+0.25,+21.7%
Layer 7,ParametricTanh,β (Steepness),0.85,1.15,+0.3,+35.3%
Layer 7,ParametricTanh,γ (Shift),0.0,0.06,+0.06,N/A
Layer 8,ParametricSigmoid,α (Scale),1.2,1.5,+0.3,+25.0%
Layer 8,ParametricSigmoid,β (Steepness),1.0,1.2,+0.2,+20.0%
Layer 8,ParametricSigmoid,γ (Shift),-0.2,-0.28,-0.08,-40.0%
Layer 9,ParametricTanh,α (Scale),1.05,1.25,+0.2,+19.0%
Layer 9,ParametricTanh,β (Steepness),0.95,1.05,+0.1,+10.5%
Layer 9,ParametricTanh,γ (Shift),0.0,0.04,+0.04,N/A
Layer 10,ParametricSigmoid,α (Scale),1.1,1.4,+0.3,+27.3%
Layer 10,ParametricSigmoid,β (Steepness),1.0,1.1,+0.1,+10.0%
Layer 10,ParametricSigmoid,γ (Shift),-0.1,-0.22,-0.12,-120.0%
Layer 11,ParametricTanh,α (Scale),1.0,1.1,+0.1,+10.0%
Layer 11,ParametricTanh,β (Steepness),1.0,0.95,-0.05,-5.0%
Layer 11,ParametricTanh,γ (Shift),0.0,0.02,+0.02,N/A
Layer 12,ParametricSigmoid,α (Scale),1.2,1.3,+0.1,+8.3%
Layer 12,ParametricSigmoid,β (Steepness),1.0,1.0,0.0,0.0%
Layer 12,ParametricSigmoid,γ (Shift),-0.2,-0.18,+0.02,+10.0%
