Epoch,Model,train_loss_mean,train_loss_std,train_loss_min,train_loss_max,train_acc_mean,train_acc_std,train_acc_min,train_acc_max,train_auc_mean,train_auc_std,train_auc_min,train_auc_max,train_sens_mean,train_sens_std,train_sens_min,train_sens_max,train_spec_mean,train_spec_std,train_spec_min,train_spec_max,val_loss_mean,val_loss_std,val_loss_min,val_loss_max,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,val_auc_mean,val_auc_std,val_auc_min,val_auc_max,val_sens_mean,val_sens_std,val_sens_min,val_sens_max,val_spec_mean,val_spec_std,val_spec_min,val_spec_max
1,Deep,0.6971586455901464,0.005698758515382527,0.6932913760344187,0.7085013687610626,0.50205078125,0.0023644557027779766,0.49853515625,0.5052083333333334,0.5065520602639222,0.006284123844311468,0.49934620299708177,0.5172419968288997,0.3006631697133579,0.3801971267698873,0.0,0.9076069213189684,0.7033228527544574,0.3749323572060136,0.10516066212268745,1.0,0.6966241955757141,0.005265928205573334,0.6931412816047668,0.7071011066436768,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4,0.48989794855663565,0.0,1.0,0.6,0.48989794855663565,0.0,1.0
2,Deep,0.6961125920216242,0.004428952503704661,0.6933211882909139,0.7049123595158259,0.4989908854166667,0.002496980326922531,0.4957682291666667,0.5021158854166666,0.5027913709394747,0.0047623931728236,0.49778546227349174,0.5110280104460998,0.2660223679806947,0.31294800134851664,0.0,0.7397660818713451,0.7309930903059265,0.31727641865855755,0.2508153946510111,1.0,0.695799607038498,0.004503484609443847,0.693147599697113,0.7047932147979736,0.5,0.0,0.5,0.5,0.5001249999999999,0.0002499999999999947,0.5,0.500625,0.4,0.48989794855663565,0.0,1.0,0.6,0.48989794855663565,0.0,1.0
3,Deep,0.694697121779124,0.004400412949292846,0.690198540687561,0.703079010049502,0.50458984375,0.011209644415845111,0.49658203125,0.52685546875,0.5189619968740006,0.017370062414118148,0.49299403688074017,0.5389181373055986,0.27973712287412306,0.279969312056178,0.0,0.6738141650422352,0.7296953875426601,0.266921626006843,0.3793215916503588,1.0,0.6951850414276123,0.0037555383667179096,0.6931529939174652,0.7026923298835754,0.5,0.0,0.5,0.5,0.501875,0.0034460121880225706,0.5,0.50875,0.4,0.48989794855663565,0.0,1.0,0.6,0.48989794855663565,0.0,1.0
4,Deep,0.6918019523223242,0.004313681032840944,0.683641696969668,0.696175550421079,0.5075195312499999,0.013553320931552343,0.4973958333333333,0.5330403645833334,0.5332028120158407,0.029927208082247685,0.4889341769522906,0.5736511984713889,0.2749193083861405,0.23841647185093806,0.0,0.5601686668829062,0.7401709097509354,0.21821553912827027,0.45932701731460307,1.0,0.694716626405716,0.0030833242435678483,0.6929643154144287,0.7008784413337708,0.501,0.0020000000000000018,0.5,0.505,0.527140625,0.050595064811223965,0.5,0.62819765625,0.4,0.48989794855663565,0.0,1.0,0.602,0.4874587162006645,0.0,1.0
5,Deep,0.6811329573392869,0.013337478643993882,0.657772516210874,0.6941012044747671,0.5230143229166667,0.028022144764366194,0.49755859375,0.57373046875,0.5800561609981671,0.05429930759298004,0.49261240236477727,0.6424131370378827,0.30696593632064506,0.20608705024986204,0.0,0.5580182529335072,0.7396217183493157,0.17008012990507143,0.5026007802340702,1.0,0.693669730424881,0.0024405208404479134,0.6906834542751312,0.6981543004512787,0.5075000000000001,0.014999999999999993,0.5,0.5375,0.5568178125,0.08347312717749955,0.5,0.7209890624999999,0.39975,0.4895919219104825,0.0,1.0,0.61525,0.47183710112707333,0.0,1.0
6,Deep,0.6700948228438695,0.017262695272304247,0.6424672156572342,0.6931977917750677,0.5469075520833333,0.04152954426683051,0.49951171875,0.6057942708333334,0.6213995828661502,0.05944379868813488,0.5085531422274144,0.6780134415224897,0.3738290755421973,0.22369460248603387,0.0,0.6418104851839792,0.7201967815582329,0.15754726354881968,0.5698014969085584,1.0,0.6749954044818878,0.022928597121433355,0.6391175389289856,0.6932631731033325,0.524125,0.046703185116220944,0.5,0.6175,0.568811875,0.07647999096443411,0.500625,0.6662140624999999,0.5965,0.487073788044481,0.0,1.0,0.45175,0.45668205570177595,0.0,1.0
7,Deep,0.6623467445373535,0.016011367728788497,0.6501086155573527,0.6928330709536871,0.58310546875,0.06500355180996835,0.50146484375,0.6554361979166666,0.6442209691916713,0.06717294187606195,0.5146009939745024,0.7032025986576499,0.4966854509895781,0.31181549157446586,0.0,0.9270358306188925,0.6688036451394489,0.20532126375727858,0.38418998048145736,1.0,0.6783002138137817,0.010877130428937835,0.6639914810657501,0.6931613087654114,0.543875,0.038657955196828506,0.5,0.5975,0.60043609375,0.06089718870071418,0.5,0.67224296875,0.79525,0.39764965736185415,0.0,1.0,0.2925,0.36017964267848346,0.0,1.0
8,Deep,0.654837370912234,0.021315375903470064,0.6354253937800726,0.6913964052995046,0.6033528645833334,0.07403527497607024,0.5008138020833334,0.6661783854166666,0.6578950591287043,0.06076359097137614,0.5404502936524966,0.7167100027932358,0.6012922826285505,0.360915803134524,0.0,0.9675535366645036,0.605001292468863,0.2285912332596111,0.3465055519268452,1.0,0.6815293967723847,0.011688045736992898,0.6625625491142273,0.693164587020874,0.544625,0.044218208918951014,0.5,0.6,0.5761345312499999,0.051609314721903214,0.500625,0.6344585937500001,0.79475,0.39742326303325526,0.0,1.0,0.2945,0.36204851194280585,0.0,1.0
9,Deep,0.6401229153076807,0.026309206246875008,0.6168259779612223,0.6877401918172836,0.6209635416666667,0.08075301279615806,0.4993489583333333,0.70654296875,0.6748328765156765,0.048996933695495556,0.5828433387940041,0.7258654771813692,0.6546501214232611,0.38157685686295284,0.0,0.9610642439974043,0.5875481032004288,0.22888754738717162,0.3879817112998041,1.0,0.6942212879657745,0.0019967727540297054,0.692432314157486,0.6981075406074524,0.508375,0.009878954904239621,0.5,0.525625,0.54206921875,0.047133806821726285,0.4788,0.61059765625,0.7982500000000001,0.39913468904619154,0.0,1.0,0.2185,0.39128905555867516,0.0,1.0
10,Deep,0.6324377834796905,0.02009984489865994,0.6125806619723638,0.6682155678669611,0.6404296875,0.08192909944757203,0.50146484375,0.7106119791666666,0.7092970620267643,0.02930982826846723,0.6532258893433716,0.7353470854074546,0.6565492419646638,0.36151524837411797,0.0,0.942052444156685,0.6235393596957166,0.20087565554594752,0.4600847181492343,1.0,0.6902867019176483,0.010356530238075456,0.6714317500591278,0.7014206051826477,0.53225,0.03647901794182514,0.5,0.59875,0.5959339062500001,0.10285894334583018,0.4100765625,0.71878359375,0.7967500000000001,0.3983933357876359,0.0,1.0,0.26775,0.37257750871462975,0.00125,1.0
11,Deep,0.6145298441251119,0.02006558033710464,0.5963421712319056,0.6456897854804993,0.6670247395833333,0.07205647580119526,0.5322265625,0.7252604166666666,0.7317391493582794,0.017535726258976706,0.6999772065655264,0.7478284513379503,0.720603881960358,0.3060780188869771,0.12675138481590095,0.9344636452559505,0.6132011272388068,0.16487868294739708,0.49041273968150795,0.936910569105691,0.6782263934612274,0.03302477139753814,0.6158139705657959,0.7082987427711487,0.5556249999999999,0.0784209394868488,0.4875,0.695625,0.6335492187499999,0.08375909509412291,0.4769578125,0.73027421875,0.7875,0.39420093226678193,0.0,1.0,0.32375,0.36266547947109606,0.00375,0.975
12,Deep,0.6089762886365253,0.0188658915633028,0.5891644755999247,0.631555030743281,0.6936197916666667,0.051732583604866086,0.6033528645833334,0.74365234375,0.7405854289816445,0.029447543269563232,0.6919660355409929,0.7751742341100749,0.8108966380301956,0.19956340030022296,0.4135460761966786,0.9384164222873901,0.5762233944421604,0.12409683692532295,0.430939226519337,0.7930361210543443,0.6800306677818299,0.009791864460966733,0.6613423228263855,0.6896969974040985,0.574875,0.018938221933434012,0.548125,0.606875,0.6629690625,0.05216791816990252,0.5646499999999999,0.7128093750000001,0.9887500000000001,0.010307764064044142,0.9725,1.0,0.161,0.045065230499798846,0.09625,0.23125
13,Deep,0.6015720456838607,0.01754139317984502,0.5806139955917994,0.625218907992045,0.712109375,0.03465725394376061,0.6564127604166666,0.751953125,0.7523418087531311,0.022193167287322436,0.7219976730336817,0.778075302634702,0.8487557548736019,0.12039356797665794,0.6118721461187214,0.9415014624634385,0.5754231162489529,0.08719668618656713,0.46970684039087945,0.7007797270955166,0.6746584475040436,0.026491247287710986,0.644309937953949,0.7124661803245544,0.600625,0.0718581501988466,0.508125,0.68875,0.6605678125000001,0.08039393956268222,0.5543843749999999,0.7624695312499999,0.98275,0.02042363826550011,0.9525,1.0,0.2185,0.1629712397940201,0.01625,0.425
14,Deep,0.5916767179965973,0.012798498761917684,0.5757139176130295,0.6078702807426453,0.7240234375,0.01762947024627456,0.7076822916666666,0.7470703125,0.7587053671462168,0.013944621825813816,0.7432786595148126,0.775927808549669,0.8833580669368875,0.03484422528066511,0.8328990228013029,0.9374796483230218,0.5645888834845099,0.048927623057584205,0.48616986657988936,0.6279296875,0.6866566598415375,0.014363210790055637,0.669659286737442,0.7096802592277527,0.5743750000000001,0.04501562228826787,0.503125,0.6175,0.6860209375000001,0.05278622378966561,0.6079359375000001,0.7617507812500002,0.99175,0.009340770846134695,0.9775,1.0,0.157,0.0976012295004525,0.00625,0.2575
15,Deep,0.5810541381438574,0.013474745395991309,0.5633366753657659,0.596948504447937,0.7465820312500001,0.013479864480745753,0.7275390625,0.7639973958333334,0.7805697078685208,0.014210752504733129,0.7629198532413095,0.8038788620535278,0.8801930319772746,0.02639223838935097,0.8360975609756097,0.9186008499509644,0.6134552415764633,0.049478796117052255,0.553322528363047,0.6917562724014337,0.6776072382926941,0.03921382704781105,0.6143496930599213,0.7377325594425201,0.6032500000000001,0.10015019970025024,0.505625,0.779375,0.70536875,0.05470995887940278,0.6245320312499999,0.7952726562500001,0.9845,0.019678668654154425,0.94625,0.99875,0.22199999999999998,0.21904565734111234,0.0125,0.6125
16,Deep,0.572083201011022,0.013637539231603794,0.5535936206579208,0.5883601754903793,0.75458984375,0.01502566931586602,0.7296549479166666,0.7747395833333334,0.789190917844845,0.009232617996618578,0.7788812414148707,0.8031884676864324,0.8735541222335378,0.02281277245493954,0.8424813251055537,0.9111255270840091,0.6356276313831786,0.04327486522884277,0.5844495262985953,0.7066884176182708,0.6666620194911956,0.03108165523103312,0.608871728181839,0.6978239417076111,0.62025,0.09003089747414496,0.50875,0.748125,0.74226421875,0.0413535268857286,0.7090859374999998,0.8226539062500001,0.9712499999999998,0.027030075841551027,0.9275,1.0,0.26925000000000004,0.204491136727243,0.01875,0.56875
17,Deep,0.5663284728924434,0.014038130803714991,0.5473567843437195,0.5897950281699499,0.7587565104166666,0.009903219043470687,0.7443033854166666,0.77099609375,0.7944276134671323,0.009427612835176933,0.7791985989835064,0.8047373957950097,0.864244010924628,0.029400132201022056,0.8324131211432283,0.8999350227420403,0.6530872878993459,0.04086453536263259,0.6020175724048161,0.701885565669701,0.6576253592967987,0.024566325865606115,0.6158038377761841,0.6905470192432404,0.6436249999999999,0.05406506496805493,0.56375,0.723125,0.7727890625,0.032272128411630935,0.737040625,0.83077578125,0.9705,0.014439529078193628,0.95625,0.995,0.31675000000000003,0.11786538932188702,0.1325,0.49
18,Deep,0.5606167445580165,0.011107969115862861,0.5440166095892588,0.5724881986776987,0.7584635416666667,0.012042071167378843,0.7376302083333334,0.7732747395833334,0.7986041826337344,0.007270056437194475,0.7895949319606069,0.80973240008528,0.8625006606651237,0.02704975395187176,0.8310502283105022,0.8987382724037528,0.6539396066311961,0.04065435009184722,0.6092368162463151,0.7157244964262508,0.6630559504032135,0.042558896808272934,0.5997819900512695,0.7115359306335449,0.6467499999999999,0.08401859913138282,0.55875,0.755,0.755254375,0.04686337234065293,0.6860796874999999,0.83287421875,0.9722500000000001,0.020161845153655985,0.94,0.9925,0.32125000000000004,0.1865207763226392,0.13375,0.5525
19,Deep,0.5588268607854844,0.017097151198384907,0.5305271049340566,0.5784323414166769,0.7604817708333333,0.010518705952406634,0.744140625,0.7732747395833334,0.7969506772711368,0.009269999902825315,0.7829406136155079,0.810100356009678,0.8549603056115588,0.0390456718540656,0.8130689206762028,0.9151158994449886,0.6662517254863612,0.04588762132557922,0.5972086984745213,0.71502758844531,0.6483010113239288,0.013899055116125802,0.6318224966526031,0.6712165176868439,0.6318750000000001,0.02039071479865284,0.599375,0.66125,0.77346828125,0.031232613337482243,0.7287828125,0.8185335937500001,0.9734999999999999,0.015720209922262505,0.945,0.98875,0.29025,0.030997983805402564,0.25375,0.33625
20,Deep,0.5503963674108188,0.012986915629707704,0.5319875751932462,0.5711002250512441,0.7671549479166666,0.009360974027521065,0.75732421875,0.7830403645833334,0.8063725746483289,0.009519721550697004,0.7897011695998764,0.8189901384265457,0.8472304537565962,0.03846736926630438,0.8083793439428386,0.8966525836854079,0.6869627642211837,0.0477321056197773,0.6243075920495276,0.7458401305057096,0.641020679473877,0.02795753424357563,0.5893154144287109,0.6672106087207794,0.668875,0.07987627150787649,0.541875,0.77,0.7864454687500002,0.03315100327537713,0.7478671875,0.8392984375000001,0.9582499999999999,0.02505743402665166,0.92625,0.99875,0.37949999999999995,0.1831624961611956,0.085,0.61375
